date,open,close,high,low,volume,amount,code
2007-01-18,0.443,0.421,0.447,0.35,2360060,466070565.0,510880
2007-01-19,0.42,0.464,0.466,0.417,986428,199196018.0,510880
2007-01-22,0.475,0.552,0.552,0.475,561721,117685923.0,510880
2007-01-23,0.574,0.592,0.599,0.505,717310,152652902.0,510880
2007-01-24,0.594,0.663,0.679,0.586,539028,119818958.0,510880
2007-01-25,0.661,0.569,0.661,0.564,792364,173112426.0,510880
2007-01-26,0.524,0.616,0.619,0.465,774925,163586554.0,510880
2007-01-29,0.628,0.682,0.682,0.624,720452,161225930.0,510880
2007-01-30,0.685,0.696,0.73,0.671,688981,156778200.0,510880
2007-01-31,0.693,0.54,0.693,0.532,637625,139513671.0,510880
2007-02-01,0.524,0.518,0.547,0.444,944331,196206858.0,510880
2007-02-02,0.512,0.431,0.534,0.425,1030616,210178463.0,510880
2007-02-05,0.404,0.387,0.424,0.374,560316,110566528.0,510880
2007-02-06,0.39,0.422,0.423,0.319,1081486,209717648.0,510880
2007-02-07,0.433,0.468,0.487,0.421,588613,119784338.0,510880
2007-02-08,0.454,0.495,0.499,0.436,388687,79712198.0,510880
2007-02-09,0.495,0.464,0.496,0.449,260799,53283819.0,510880
2007-02-12,0.462,0.543,0.544,0.455,379641,79004591.0,510880
2007-02-13,0.545,0.576,0.583,0.543,282739,60488529.0,510880
2007-02-14,0.576,0.632,0.644,0.562,284267,62348629.0,510880
2007-02-15,0.659,0.722,0.724,0.649,519810,117922321.0,510880
2007-02-16,0.764,0.745,0.783,0.722,630791,146866539.0,510880
2007-02-26,0.738,0.859,0.863,0.738,1013958,241804859.0,510880
2007-02-27,0.875,0.634,0.882,0.624,972519,224873343.0,510880
2007-02-28,0.625,0.743,0.754,0.583,1049976,234850698.0,510880
2007-03-01,0.743,0.683,0.745,0.594,523686,118633678.0,510880
2007-03-02,0.674,0.699,0.721,0.654,528194,119761224.0,510880
2007-03-05,0.694,0.659,0.733,0.594,556397,124321501.0,510880
2007-03-06,0.635,0.679,0.704,0.624,447396,100517025.0,510880
2007-03-07,0.687,0.728,0.744,0.687,578362,133094897.0,510880
2007-03-08,0.721,0.743,0.746,0.714,636575,147294082.0,510880
2007-03-09,0.746,0.742,0.764,0.72,360392,83670424.0,510880
2007-03-12,0.743,0.76,0.762,0.71,359381,83340364.0,510880
2007-03-13,0.754,0.771,0.779,0.745,266315,62355245.0,510880
2007-03-14,0.732,0.712,0.734,0.689,341053,78012944.0,510880
2007-03-15,0.71,0.758,0.76,0.704,295224,68573314.0,510880
2007-03-16,0.759,0.699,0.773,0.69,348409,80221181.0,510880
2007-03-19,0.654,0.742,0.754,0.631,406317,92961768.0,510880
2007-03-20,0.741,0.763,0.766,0.728,218496,50801233.0,510880
2007-03-21,0.763,0.793,0.796,0.755,266715,62951022.0,510880
2007-03-22,0.795,0.812,0.849,0.795,366536,87980307.0,510880
2007-03-23,0.807,0.821,0.827,0.766,265495,63038637.0,510880
2007-03-26,0.817,0.876,0.877,0.817,404925,98449115.0,510880
2007-03-27,0.875,0.893,0.897,0.874,391209,96358365.0,510880
2007-03-28,0.893,0.914,0.922,0.812,541551,133263633.0,510880
2007-03-29,0.919,0.9,0.942,0.874,503307,125533816.0,510880
2007-03-30,0.891,0.901,0.925,0.874,173441,42960704.0,510880
2007-04-02,0.906,0.992,0.998,0.906,375058,95148913.0,510880
2007-04-03,1.0,1.018,1.044,0.999,278626,72374840.0,510880
2007-04-04,1.023,1.019,1.04,0.999,265503,68826053.0,510880
2007-04-05,1.019,1.049,1.054,1.001,307840,80058391.0,510880
2007-04-06,1.044,1.072,1.074,1.024,324804,85600734.0,510880
2007-04-09,1.075,1.152,1.166,1.075,209605,56947783.0,510880
2007-04-10,1.155,1.204,1.205,1.124,336669,92743749.0,510880
2007-04-11,1.205,1.242,1.242,1.187,417723,117037331.0,510880
2007-04-12,1.243,1.281,1.282,1.232,238385,67455616.0,510880
2007-04-13,1.281,1.263,1.302,1.25,237807,67761180.0,510880
2007-04-16,1.259,1.329,1.332,1.257,216434,62255095.0,510880
2007-04-17,1.332,1.369,1.369,1.264,342642,99364758.0,510880
2007-04-18,1.369,1.387,1.395,1.332,236394,69643856.0,510880
2007-04-19,1.364,1.245,1.374,1.174,517527,148274364.0,510880
2007-04-20,1.253,1.355,1.364,1.253,295456,85404706.0,510880
2007-04-23,1.366,1.527,1.53,1.366,231314,70646762.0,510880
2007-04-24,1.574,1.592,1.627,1.532,543469,172198604.0,510880
2007-04-25,1.586,1.584,1.734,1.524,544677,173065804.0,510880
2007-04-26,1.584,1.634,1.659,1.584,428207,137098903.0,510880
2007-04-27,1.643,1.617,1.654,1.576,508019,162180066.0,510880
2007-04-30,1.614,1.659,1.661,1.588,378227,121115631.0,510880
2007-05-08,1.724,1.812,1.813,1.724,368614,123890865.0,510880
2007-05-09,1.811,1.828,1.854,1.724,479759,161677949.0,510880
2007-05-10,1.827,1.891,1.921,1.813,321393,110816112.0,510880
2007-05-11,1.892,1.861,1.892,1.819,1173441,402765084.0,510880
2007-05-14,1.834,1.899,1.914,1.724,1817129,625642641.0,510880
2007-05-15,1.903,1.753,1.906,1.745,859621,291174083.0,510880
2007-05-16,1.744,1.811,1.82,1.654,1029346,342413272.0,510880
2007-05-17,1.819,1.875,1.902,1.816,672521,232043363.0,510880
2007-05-18,1.865,1.885,1.911,1.844,645757,223781617.0,510880
2007-05-21,1.805,1.916,1.934,1.782,637451,220722454.0,510880
2007-05-22,1.916,1.961,1.992,1.916,307540,108870554.0,510880
2007-05-23,1.964,2.052,2.056,1.949,416087,148696704.0,510880
2007-05-24,2.055,2.017,2.074,1.959,792520,283585862.0,510880
2007-05-25,1.978,2.022,2.034,1.955,487331,174782585.0,510880
2007-05-28,2.034,2.107,2.122,2.034,450559,165678668.0,510880
2007-05-29,2.125,2.206,2.208,2.119,395185,147676447.0,510880
2007-05-30,2.013,1.924,2.174,1.904,1171616,421828938.0,510880
2007-05-31,1.877,1.966,2.032,1.699,1165968,402319252.0,510880
2007-06-01,1.951,1.784,2.025,1.782,716873,249837377.0,510880
2007-06-04,1.804,1.474,1.844,1.469,1001794,316661080.0,510880
2007-06-05,1.45,1.614,1.624,1.216,1612232,485797469.0,510880
2007-06-06,1.643,1.639,1.69,1.524,1102331,354862981.0,510880
2007-06-07,1.655,1.753,1.759,1.64,867193,284279144.0,510880
2007-06-08,1.764,1.775,1.786,1.729,953920,318510927.0,510880
2007-06-11,1.77,1.814,1.826,1.77,681618,230000363.0,510880
2007-06-12,1.819,1.964,1.967,1.772,575423,197786415.0,510880
2007-06-13,1.994,2.06,2.076,1.994,512250,185375515.0,510880
2007-06-14,2.029,1.971,2.034,1.942,542828,193847325.0,510880
2007-06-15,1.97,1.961,1.993,1.922,569257,201107518.0,510880
2007-06-18,1.989,2.045,2.065,1.989,534090,193556637.0,510880
2007-06-19,2.031,2.08,2.112,2.024,384123,140025501.0,510880
2007-06-20,2.074,2.024,2.152,2.004,497044,182651267.0,510880
2007-06-21,2.005,2.041,2.054,1.971,333162,119977918.0,510880
2007-06-22,2.037,1.928,2.074,1.834,431579,153577677.0,510880
2007-06-25,1.933,1.721,1.96,1.705,410483,139840839.0,510880
2007-06-26,1.66,1.787,1.794,1.624,553614,180597304.0,510880
2007-06-27,1.799,1.874,1.882,1.763,393260,133409590.0,510880
2007-06-28,1.849,1.714,1.884,1.713,329056,111604835.0,510880
2007-06-29,1.628,1.595,1.699,1.579,323694,103769037.0,510880
2007-07-02,1.569,1.627,1.671,1.544,450506,143155221.0,510880
2007-07-03,1.647,1.687,1.703,1.629,182887,59434193.0,510880
2007-07-04,1.688,1.626,1.708,1.613,207056,67332947.0,510880
2007-07-05,1.613,1.433,1.613,1.424,978169,301334326.0,510880
2007-07-06,1.424,1.57,1.574,1.369,513865,155696212.0,510880
2007-07-09,1.58,1.663,1.672,1.575,306830,98112402.0,510880
2007-07-10,1.654,1.589,1.663,1.576,197675,63123373.0,510880
2007-07-11,1.576,1.614,1.617,1.55,138829,43945978.0,510880
2007-07-12,1.616,1.634,1.653,1.602,137520,43975060.0,510880
2007-07-13,1.633,1.638,1.644,1.594,132883,42524685.0,510880
2007-07-16,1.634,1.536,1.636,1.526,126642,39856105.0,510880
2007-07-17,1.515,1.591,1.616,1.504,119901,37535563.0,510880
2007-07-18,1.589,1.614,1.664,1.559,143631,45903982.0,510880
2007-07-19,1.604,1.582,1.623,1.579,82864,26262700.0,510880
2007-07-20,1.583,1.706,1.707,1.583,202445,65625689.0,510880
2007-07-23,1.724,1.913,1.916,1.724,271672,92960227.0,510880
2007-07-24,1.933,1.924,2.009,1.914,379976,134626221.0,510880
2007-07-25,1.902,2.023,2.024,1.894,329196,117257557.0,510880
2007-07-26,2.034,2.048,2.068,2.006,341261,123252940.0,510880
2007-07-27,2.024,2.083,2.094,1.986,455074,165452657.0,510880
2007-07-30,2.083,2.209,2.233,2.065,332143,124990445.0,510880
2007-07-31,2.204,2.233,2.244,2.182,265879,100887067.0,510880
