date,open,close,high,low,volume,amount,code,r60,r120,score,atr20,atr_ratio,ma200,regime_tag
2024-10-25,3.924,3.952,3.99,3.915,16852658,6801807389.0,510300,,,,,,,
2024-10-28,3.947,3.958,3.959,3.912,13963081,5622580497.0,510300,,,,,,,
2024-10-29,3.962,3.925,3.991,3.915,17946282,7237339621.0,510300,,,,,,,
2024-10-30,3.913,3.883,3.923,3.857,18128591,7210707530.0,510300,,,,,,,
2024-10-31,3.881,3.883,3.919,3.85,17636493,7004839523.0,510300,,,,,,,
2024-11-01,3.876,3.891,3.93,3.873,18177560,7259471612.0,510300,,,,,,,
2024-11-04,3.894,3.944,3.946,3.883,12493144,4997179234.0,510300,,,,,,,
2024-11-05,3.936,4.049,4.051,3.922,27630144,11308231751.0,510300,,,,,,,
2024-11-06,4.049,4.023,4.092,3.997,21734248,8976072158.0,510300,,,,,,,
2024-11-07,3.992,4.16,4.162,3.988,27887189,11598082835.0,510300,,,,,,,
2024-11-08,4.194,4.106,4.202,4.09,28080232,11867165449.0,510300,,,,,,,
2024-11-11,4.064,4.127,4.131,4.042,23043651,9617369865.0,510300,,,,,,,
2024-11-12,4.122,4.081,4.18,4.057,23041668,9698713979.0,510300,,,,,,,
2024-11-13,4.062,4.107,4.118,4.058,15727943,6569000903.0,510300,,,,,,,
2024-11-14,4.1,4.036,4.115,4.029,14438853,6015521584.0,510300,,,,,,,
2024-11-15,4.026,3.967,4.046,3.962,16769935,6875318302.0,510300,,,,,,,
2024-11-18,3.983,3.95,4.03,3.925,16100926,6552723785.0,510300,,,,,,,
2024-11-19,3.952,3.97,3.973,3.893,16705449,6731130787.0,510300,,,,,,,
2024-11-20,3.958,3.98,3.997,3.95,15485304,6285302021.0,510300,,,,,,,
2024-11-21,3.972,3.985,3.994,3.96,10454707,4249179703.0,510300,,,,,,,
2024-11-22,3.983,3.865,3.986,3.858,17571913,7058103342.0,510300,,,,,,,
2024-11-25,3.867,3.843,3.884,3.806,13590858,5349569691.0,510300,,,,,,,
